"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01006684",2011,"Liverpool 056B","Total",2138,127,58,30,105,22,52,29,96,190,507,447,135,173,116,33,18,40.7,40
"E01006685",2011,"Liverpool 056C","Total",1484,51,53,28,75,13,33,24,111,72,245,344,125,167,87,32,24,44.1,46
"E01006686",2011,"Liverpool 053E","Total",1433,63,47,27,78,22,49,34,129,56,181,371,103,137,108,17,11,42.4,46
"E01006687",2011,"Liverpool 056D","Total",1952,121,47,29,68,18,30,27,106,173,452,382,153,160,129,40,17,42.1,41
"E01006688",2011,"Liverpool 056E","Total",1524,86,42,29,70,11,30,24,97,147,328,301,100,147,84,20,8,40.6,40
"E01006689",2011,"Liverpool 049D","Total",1651,85,65,37,81,18,37,31,98,100,366,353,92,138,117,24,9,40.9,41
"E01006690",2011,"Liverpool 028A","Total",1492,89,28,18,48,14,21,54,187,166,368,277,60,94,52,15,1,36.7,34
"E01006691",2011,"Liverpool 030A","Total",1503,129,58,42,97,14,36,35,156,199,330,211,51,92,45,7,1,32.6,29
"E01006692",2011,"Liverpool 028B","Total",2180,159,62,42,140,29,56,81,190,239,450,369,113,146,88,12,4,35.4,32
"E01006693",2011,"Liverpool 024D","Total",1511,48,28,22,61,15,31,20,92,97,264,325,129,232,109,29,9,46.3,48
"E01006694",2011,"Liverpool 030B","Total",1864,159,66,40,108,10,45,41,199,175,476,296,68,92,65,19,5,34,32
"E01006695",2011,"Liverpool 028C","Total",1821,84,48,24,101,15,34,53,236,234,470,340,62,67,40,10,3,34.2,31
"E01006696",2011,"Liverpool 030C","Total",1744,119,73,54,106,20,37,44,172,145,375,310,109,94,66,15,5,35.5,34
"E01006697",2011,"Liverpool 030D","Total",1845,166,63,42,95,22,47,51,212,180,415,267,87,106,80,7,5,34,31
"E01006698",2011,"Liverpool 012D","Total",1716,154,61,45,101,31,47,52,125,153,333,328,85,121,70,7,3,35.2,32
"E01006699",2011,"Liverpool 014A","Total",1594,107,76,23,96,17,50,47,120,138,343,274,100,114,62,20,7,36.7,35
"E01006700",2011,"Liverpool 012E","Total",1438,85,45,28,88,15,42,44,104,128,280,271,107,109,74,11,7,38.4,38
